step,loss,time
1,-0.6252695918083191,0.03806042671203613
2,-1.145725131034851,0.03806042671203613
3,-0.5381693840026855,0.03905940055847168
4,-0.17903657257556915,0.03905940055847168
5,0.4966442286968231,0.03905940055847168
6,-0.8584944605827332,0.04058480262756348
7,-1.0913076400756836,0.041136741638183594
8,0.9116170406341553,0.041136741638183594
9,0.3764197826385498,0.04214954376220703
10,-0.2903141975402832,0.04214954376220703
11,0.4030987322330475,0.08712387084960938
12,0.8253554105758667,0.08712387084960938
13,1.1645649671554565,0.08815145492553711
14,-1.0214166641235352,0.08868551254272461
15,-0.5946282744407654,0.08868551254272461
16,-2.114997625350952,0.08868551254272461
17,-0.14741425216197968,0.08971714973449707
18,-0.7717610597610474,0.08971714973449707
19,0.32751530408859253,0.09071755409240723
20,-0.4089347720146179,0.09124135971069336
21,-1.9461654424667358,0.09479594230651855
22,1.3612700700759888,0.09479594230651855
23,-3.063251495361328,0.09578561782836914
24,0.3539204001426697,0.09578561782836914
25,0.7231025695800781,0.09678959846496582
26,0.3405008912086487,0.09678959846496582
27,0.3353825509548187,0.09777045249938965
28,-0.34054604172706604,0.09777045249938965
29,0.11815951019525528,0.09777045249938965
30,-1.2019429206848145,0.0987696647644043
31,-1.1669318675994873,0.10230374336242676
32,-0.07455618679523468,0.10230374336242676
33,0.6547708511352539,0.1033182144165039
34,0.521691083908081,0.1033182144165039
35,0.8791035413742065,0.1033182144165039
36,0.3092367351055145,0.10430145263671875
37,1.5258207321166992,0.10430145263671875
38,0.4246614873409271,0.1053018569946289
39,1.1888113021850586,0.1053018569946289
40,1.6757898330688477,0.1053018569946289
41,0.1612338125705719,0.10999631881713867
42,-0.3399621248245239,0.11101317405700684
43,1.3527153730392456,0.1122133731842041
44,-1.0725141763687134,0.1122133731842041
45,-1.1076899766921997,0.11322808265686035
46,-0.40554922819137573,0.11322808265686035
47,-1.385430097579956,0.11423683166503906
48,-1.2120349407196045,0.11423683166503906
49,0.19446760416030884,0.11521172523498535
50,1.8654494285583496,0.11521172523498535
